descricao,ISO,VERSAO,IDIOMA
"Fine ceramics (advanced ceramics, advanced technical ceramics) — Test method for hardness of monolithic ceramics at room temperature",ISO 14705,2016,en
"Ships and marine technology — Installation, inspection and maintenance of container securing devices for ships",ISO 17905,2015,en
Ships and marine technology — Specification for bunkering of liquefied natural gas fuelled vessels,ISO 20519,2021,en
Fermented milks — Determination of titratable acidity — Potentiometric method,ISO/TS 11869,2012,en
Non-destructive testing — Magnetic particle testing — Part 3: Equipment,ISO 9934-3,2015,en
Wheelchair seating — Part 4: Seating systems for use in motor vehicles,ISO 16840-4,2009,en
Manganese ores — Sampling — Part 1: Increment sampling,ISO 4296-1,1984,en
Graphic technology — Image quality evaluation methods for printed matter — Part 31: Evaluation of the perceived resolution of printing systems with the Contrast–Resolution chart,ISO/TS 18621-31,2020,en
Information technology — Home Electronic System (HES) application model — Part 3-3: Model of a system of interacting Energy Management Agents (EMAs) for demand response energy management,ISO/IEC 15067-3-3,2019,en
Intelligent transport systems — Communications access for land mobiles (CALM) — Evolved Universal Terrestrial Radio Access Network (E-UTRAN) — Part 1: General usage,ISO 17515-1,2015,en
Information technology — Enhanced communications transport protocol: Specification of duplex multicast transport — Part 3,ISO/IEC 14476-3,2008,en
Cast steels and alloys with special physical properties,ISO 19960,2023,en
"Fine ceramics (advanced ceramics, advanced technical ceramics) — Test method for air-purification performance of semiconducting photocatalytic materials under indoor lighting environment — Part 1: Removal of nitric oxide",ISO 17168-1,2018,en
Instant coffee — Determination of free-flow and compacted bulk densities,ISO 8460,1987,en
Information technology — Artificial intelligence (AI) — Overview of computational approaches for AI systems,ISO/IEC TR 24372,2021,en
Water quality — Determination of chromium — Atomic absorption spectrometric methods,ISO 9174,1998,en
Adhesives — Determination of dynamic resistance to cleavage of high-strength adhesive bonds under impact wedge conditions — Wedge impact method,ISO 11343,2019,en
Cereals and pulses — Determination of hidden insect infestation — Part 4: Rapid methods,ISO 6639-4,1987,en
Anodizing of aluminium and its alloys — Determination of mass per unit area (surface density) of anodic oxidation coatings — Gravimetric method,ISO 2106,2019,en
Road vehicles — Local Interconnect Network (LIN) — Part 1: General information and use case definition,ISO 17987-1,2016,en
Steel castings — Ultrasonic testing — Part 2: Steel castings for highly stressed components,ISO 4992-2,2020,en
"Identification cards — Integrated circuit cards — Part 4: Organization, security and commands for interchange",ISO/IEC 7816-4,2020,en
